"","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking"
"310",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"311",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"312",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"313",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"314",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"315",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"316",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"317",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"318",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"319",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"320",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"321",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"322",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"323",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"324",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"325",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"326",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"327",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"328",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"329",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"330",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"331",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"332",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"333",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"334",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"335",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"336",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"337",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"338",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"339",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"340",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"341",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"342",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"343",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"344",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"345",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"346",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"347",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"348",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"349",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"350",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"351",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"352",407,94117,4100,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"353",407,94117,3500,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"354",406,94102,NA,1,1,676,"Apt","Apartment","In Unit",NA,NA,"No",NA
"355",405,94102,4700,1,1,830,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA
"356",404,94123,5350,2,2,1500,"Apt","Multi Family","Shared","Baseboard","Central","Yes","Garage"
"357",404,94123,3900,2,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Garage"
"358",403,94123,5500,7,1,1500,"Apt","Multi Family","Shared","Forced air","None","Yes","Both"
"359",402,94105,4000,1,1,NA,"Apt","Multi Family",NA,"Forced air","None","Yes","None"
"360",401,94109,2295,7,1,NA,"Apt","Multi Family","Shared","Baseboard","None","Yes","Both"
"361",400,94115,5495,2,2,1550,"Apt","Multi Family","Shared","Radiant",NA,"Yes","Garage"
"362",399,94112,3000,2,1,940,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"363",398,94103,2550,1,1,NA,"Apt","Multi Family","In Unit","Wall","None","Yes","Both"
"364",397,94124,1900,1,1,650,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"365",396,94109,2295,1,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both"
"366",395,94109,4250,2,2,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Garage"
"367",394,94123,4200,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"368",393,94131,3499,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"369",392,94105,5500,1,1,700,"Apt","Multi Family","In Unit",NA,NA,"No",NA
"370",391,94110,3800,3,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Both"
"371",390,94103,3095,1,1,765,"Apt","Multi Family","In Unit","Forced air","None","Yes","Garage"
"372",390,94103,3175,1,1,NA,"Apt","Multi Family","In Unit","Forced air","Central","Yes","Both"
"373",390,94103,4495,2,2,1075,"Apt","Multi Family","In Unit","Forced air","Central","Yes","Garage"
"374",390,94103,5900,2,2,1031,"Apt","Multi Family","In Unit","Forced air","Central","No",NA
"375",390,94103,3195,1,1,756,"Apt","Multi Family","In Unit","Forced air","None","Yes","Both"
"376",389,94118,4500,1,1,645,"Apt","Multi Family","In Unit",NA,NA,"No",NA
"377",388,94117,4675,2,2,1250,"Apt","Multi Family","Shared",NA,NA,"Yes","Garage"
"378",387,94123,2250,7,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Both"
"379",386,94122,2750,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"380",385,94123,2400,7,1,NA,"Apt","Multi Family","Shared","Baseboard","None","Yes","Garage"
"381",384,94102,5750,3,2,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both"
"382",383,94105,3299,1,1,658,"Apt","Multi Family","In Unit",NA,NA,"Yes","Garage"
"383",382,94123,2850,1,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Garage"
"384",382,94123,5900,2,1,1100,"Apt","Multi Family","In Unit",NA,NA,"No",NA
"385",382,94123,4250,2,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Garage"
"386",381,94118,2150,1,1,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Both"
"387",380,94118,3600,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"388",379,94133,10000,2,2,1400,"Apt","Multi Family",NA,"Radiant","Central","Yes","Garage"
"389",378,94110,3000,1,1,1632,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"390",377,94115,4500,2,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"391",376,94115,6950,3,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"392",375,94127,2800,1,1,825,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"393",374,94118,2495,1,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Both"
"394",374,94118,4500,4,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"395",373,94114,2800,1,1,NA,"Apt","Multi Family","Shared","Forced air","Central","Yes","Garage"
"396",372,94123,3900,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"397",371,94109,2795,1,1,NA,"Apt","Multi Family","Shared","Baseboard","Central","Yes","Garage"
"398",371,94109,2650,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"399",371,94109,3645,1,1,NA,"Apt","Multi Family","In Unit","Forced air",NA,"Yes","Garage"
"400",370,94117,5400,2,2,1100,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA
"401",369,94102,4750,2,2,NA,"Apt","Multi Family","In Unit","Forced air",NA,"Yes","Garage"
"402",369,94102,4650,1,1,600,"Apt","Multi Family","In Unit",NA,NA,"No","Garage"
"403",368,94103,8500,3,3.5,NA,"Apt","Multi Family","In Unit","Forced air","None","Yes","Garage"
"404",366,94109,4200,1,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Garage"
"405",367,94115,4500,1,1,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Garage"
"406",365,94107,6000,2,2,1200,"Apt","Multi Family",NA,"Forced air","Central","Yes","Garage"
"407",364,94133,2895,1,1,850,"Apt","Multi Family","Shared","Forced air","Central","Yes","Garage"
"408",363,94117,3595,2,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both"
"409",362,94117,3850,2,1,1200,"Apt","Apartment","Shared",NA,"Central","Yes","Garage"
"410",361,94110,2300,1,1,4882,"Apt","Apartment",NA,"Forced air","Wall","Yes",NA
"411",360,94109,1850,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"412",359,94110,4600,2,1,NA,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA
"413",358,94114,3550,1,1,623,"Apt","Multi Family",NA,NA,NA,"No","Garage"
"414",357,94117,4595,2,1,879,"Apt","Multi Family",NA,NA,NA,"No",NA
"415",356,94131,3900,1,1,1200,"Apt","Apartment","In Unit","Forced air",NA,"Yes","1"
"416",355,94109,1895,7,1,575,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"417",354,94131,3245,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"418",353,94123,2330,7,1,480,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"419",352,94133,3400,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"420",351,94124,2850,2,2,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"421",350,94107,4799,2,2,1100,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"422",349,94110,2195,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"423",348,94117,2795,2,1,700,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"424",347,94109,2245,7,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"425",346,94117,4500,2,1,1000,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"426",345,94102,2995,1,1,409,"Apt","Multi Family","Shared",NA,NA,"Yes","Both"
"427",344,94109,4195,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"428",343,94109,2795,1,1,1000,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"429",342,94112,4600,3,2,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"430",341,94107,2500,7,1,800,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"431",340,94109,2095,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"432",339,94132,2880,1,1,784,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA
"433",338,94114,3750,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"434",337,94109,2150,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"435",336,94131,5950,2,2,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"436",335,94117,2250,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"437",334,94117,4100,1,1,640,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage"
"438",333,94108,2795,7,1,892,"Apt","Apartment","In Unit","Forced air","Other","No","Both"
"439",332,94118,2800,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"440",331,94108,2450,7,1,300,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"441",330,94121,2300,2,1,460,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"442",329,94110,3450,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"443",328,94109,3800,2,1,1000,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"444",327,94121,2595,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"445",326,94103,3590,2,1,560,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"446",325,94107,2452,7,1,233,"Apt","Apartment",NA,NA,NA,"No",NA
"447",324,94109,1850,7,NA,475,"Apt","Apartment",NA,NA,"Wall","No","Both"
"448",323,94118,5200,2,2,1600,"Apt","Apartment","In Unit","Forced air","Central","Yes","Garage"
"449",322,94117,5895,3,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"450",321,94109,2895,1,1,860,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"451",320,94118,4200,3,2,4351,"Apt","Apartment","Shared","Forced air","Central","Yes","Both"
"452",319,94118,4200,3,2,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"453",318,94158,5495,2,2,1210,"Apt","Multi Family",NA,"Forced air","Central","Yes",NA
"454",317,94111,4295,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"455",316,94117,3195,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"456",315,94121,4500,2,1,1600,"Apt","Multi Family","In Unit","Forced air",NA,"Yes",NA
"457",314,94109,2700,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"458",313,94118,3495,1,1,550,"Apt","Multi Family",NA,NA,NA,"Yes","1"
"459",312,94107,2500,1,1,550,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"460",311,94117,3450,1,1,800,"Apt","Apartment",NA,NA,NA,"Yes",NA
"461",310,94107,3900,1,1.5,1152,"Apt","Multi Family",NA,NA,NA,"No",NA
"462",309,94117,6500,2,1,3110,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"463",308,94109,2400,7,1,550,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"464",307,94114,2200,7,1,200,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"465",306,94109,2095,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"466",305,94103,3500,2,1,650,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"467",304,94133,3900,1,1,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"468",303,94118,2000,7,1,NA,"Apt","Apartment",NA,NA,NA,"No",NA
"469",302,94118,2600,1,1,500,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"470",301,94111,3050,1,1,983,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"471",300,94131,3095,1,1,500,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"472",299,94103,5000,2,1,712,"Apt","Apartment",NA,NA,NA,"No",NA
"473",298,94124,3490,2,2,1016,"Apt","Multi Family","In Unit",NA,NA,"Yes","Garage"
"474",297,94103,3795,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"475",296,94117,3795,2,1,850,"Apt","Multi Family","Shared",NA,NA,"Yes","Both"
"476",295,94121,3100,2,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"477",294,94133,4950,2,1,1180,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"478",293,94102,2500,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"479",292,94107,2250,1,1,350,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"480",291,94118,5800,4,2,2125,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"481",290,94110,7500,3,2,1750,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"482",289,94103,3346,1,1.5,756,"Apt","Multi Family",NA,NA,NA,"No",NA
"483",288,94133,3595,2,1,600,"Apt","Apartment",NA,NA,NA,"No",NA
"484",287,94114,4250,2,1,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA
"485",286,94102,2795,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"486",285,94121,3000,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"487",284,94117,3750,1,1,962,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"488",283,94123,4000,1,1,1200,"Apt","Multi Family",NA,NA,NA,"Yes","18"
"489",282,94127,3200,2,1,2532,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"490",281,94133,2900,1,1,700,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"491",280,94158,5100,2,2,1226,"Apt","Apartment","In Unit","Forced air","Central","No","Garage"
"492",279,94121,3450,2,1,1000,"Apt","Apartment","In Unit",NA,NA,"Yes","Both"
"493",278,94121,2495,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"494",277,94114,3995,2,1,875,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"495",276,94103,3195,1,1,700,"Apt","Apartment","Shared","Forced air","Central","Yes","Garage"
"496",275,94118,2825,1,1,750,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"497",274,94117,4500,3,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"498",273,94114,3670,1,1,625,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"499",272,94131,2800,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"500",271,94103,6495,3,2,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"501",270,94133,2800,1,1,600,"Apt","Apartment",NA,NA,NA,"Yes",NA
"502",269,94121,5000,4,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"503",268,94118,4195,2,1.5,1000,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"504",267,94118,2950,1,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"505",265,94158,4800,2,2,1170,"Apt","Multi Family","In Unit","Forced air","Other","No","Garage"
"506",266,94158,4800,2,2,1185,"Apt","Multi Family",NA,NA,NA,"No",NA
"507",264,94112,2300,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"508",263,94112,2700,2,1,900,"Apt","Apartment",NA,NA,"Central","Yes","Both"
"509",262,94114,3770,2,1,980,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"510",261,94123,20000,4,4,4610,"Apt","Multi Family","In Unit","Forced air","Central","No",NA
"511",260,94117,3500,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"512",259,94131,3795,2,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"513",258,94115,4000,1,1,880,"Apt","Multi Family","In Unit",NA,NA,"No","Both"
"514",257,94114,2675,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"515",256,94102,4295,2,1,940,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"516",255,94114,5350,3,1,3540,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"517",254,94114,9000,3,3.5,2100,"Apt","Multi Family","In Unit",NA,NA,"No","Garage"
"518",253,94123,8950,3,2,1750,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA
"519",252,94105,3150,1,1,483,"Apt","Multi Family","In Unit","Forced air","Central","Yes",NA
"520",251,94131,3595,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"521",250,94127,3350,2,NA,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"522",249,94118,2750,1,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both"
"523",248,94103,3850,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"524",247,94105,4184,1,1,808,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"525",247,94105,5897,2,2,1224,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"526",246,94123,3695,1,1,865,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"527",245,94123,3500,1,1,1100,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"528",244,94121,3100,2,1,1000,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"529",243,94123,3400,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"530",242,94123,3800,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","15"
"531",241,94114,2495,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"532",240,94110,3800,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"533",239,94121,2395,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"534",238,94103,5700,3,2,1600,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"535",237,94118,3800,3,1,1300,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"536",236,94118,2900,2,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes","Garage"
"537",235,94110,4195,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"538",234,94114,2300,7,1,500,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"539",233,94110,3095,1,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes","Both"
"540",232,94114,1995,7,1,525,"Apt","Apartment",NA,NA,NA,"Yes",NA
"541",231,94102,2695,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"542",230,94105,3925,1,1,NA,"Apt","Apartment","In Unit","Forced air","Other","Yes","Both"
"543",229,94110,1495,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"544",228,94107,4200,2,1,3250,"Apt","Apartment",NA,NA,NA,"Yes",NA
"545",227,94108,2350,1,1,450,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"546",226,94116,3200,2,2,1200,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"547",225,94103,3950,1,1,673,"Apt","Multi Family","In Unit","Forced air","Other","No",NA
"548",224,94110,3695,1,1,5210,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA
"549",223,94118,14995,5,3,2754,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"550",222,94116,3795,3,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"551",221,94123,3300,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","27"
"552",220,94121,5800,4,2,1500,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"553",219,94158,4800,2,2,1100,"Apt","Multi Family","In Unit",NA,NA,"No","Garage"
"554",218,94107,3300,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"555",217,94114,4750,2,2,1100,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"556",216,94110,4500,4,1.5,800,"Apt","Apartment",NA,NA,NA,"No",NA
"557",215,94123,5395,2,2,830,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"558",214,94121,5595,4,3.5,1600,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"559",213,94158,3600,1,1,732,"Apt","Multi Family",NA,NA,NA,"No",NA
"560",212,94110,2525,7,1,NA,"Apt","Multi Family",NA,"Wall",NA,"Yes",NA
"561",211,94122,1950,1,1,600,"Apt","Multi Family","Shared",NA,NA,"Yes","Both"
"562",210,94110,5000,3,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"563",209,94116,3995,3,2,1356,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"564",208,94134,2500,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"565",207,94118,4900,2,2,1600,"Apt","Multi Family",NA,NA,NA,"No",NA
"566",206,94110,6695,5,1.5,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"567",205,94118,2550,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"568",204,94114,2995,1,1,500,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage"
"569",203,94115,6000,2,1,1200,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"570",202,94123,7995,5,2,1650,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"571",201,94114,3995,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"572",200,94123,3300,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"573",199,94118,2200,7,1,400,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"574",198,94123,2450,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"575",197,94115,3000,1,1,850,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"576",196,94115,3500,2,1,1000,"Apt","Apartment",NA,NA,NA,"Yes",NA
"577",195,94115,2650,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"578",194,94110,3895,1,1.5,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage"
"579",193,94123,3000,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"580",192,94123,2195,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Garage"
"581",191,94133,2390,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"582",190,94110,2550,1,1,550,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"583",189,94116,3999,2,1,1250,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"584",188,94109,5250,4,1,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"585",187,94103,2850,1,1,600,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"586",186,94115,3000,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"587",185,94103,6950,7,1,4734,"Apt","Multi Family",NA,"Forced air",NA,"No",NA
"588",184,94109,2575,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"589",183,94123,3499,1,1,900,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"590",182,94107,3800,1,1.5,892,"Apt","Multi Family","In Unit",NA,NA,"No","Garage"
"591",181,94115,4500,1,1,1100,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"592",180,94123,2550,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"593",179,94109,3900,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"594",178,94115,3200,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"595",177,94116,2095,1,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"596",176,94103,2600,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"597",175,94114,3295,1,1,650,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"598",174,94116,3197,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"599",173,94123,2450,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"600",172,94112,2850,2,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"601",171,94123,3495,1,1,700,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"602",170,94110,3650,1,1,900,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"603",169,94109,2495,7,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"604",168,94123,4195,2,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"605",167,94158,5995,2,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"606",166,94123,7195,4,2,1964,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
